region,garbage_per_person,garbage_per_region
Белгородская область,3.346463665,3495.9
Брянская область,3.331208671,2806.5
Владимирская область,2.239522936,2387
Воронежская область,2.520376692,3979.7
Ивановская область,3.075309532,2512.9
Калужская область,2.514136205,1919.9
Костромская область,3.371856234,1554.8
Курская область,2.450472481,1851.8
Липецкая область,2.899205251,2137.7
Московская область,3.267706422,20340.6
Орловская область,1.990700171,979.1
Рязанская область,2.975572357,2386.9
Смоленская область,3.000646704,2023
Тамбовская область,2.851317911,1766.4
Тверская область,1.830420333,1761.3
Тульская область,5.289957413,5828.2
Ярославская область,3.007807013,3083.7
Москва,2.149318597,26773
Республика Карелия,3.580126204,1783.2
Республика Коми,2.794050676,1803.8
Ненецкий АО,3.703245367,119.7
Архангельская область,2.034291784,1754.3
Вологодская область,4.486867071,3793
Калининградская область,3.419779681,2676.6
Ленинградская область,2.501404595,3063.1
Мурманская область,2.910346475,1998.5
Новгородская область,3.109207128,1328.9
Псковская область,2.607858797,1162.5
Санкт-Петербург,1.852057614,9984.4
Республика Адыгея,3.440521596,745.1
Республика Калмыкия,2.357151474,293.1
Республика Крым,4.002994734,3903.1
Краснодарский край,3.926746665,12286.7
Астраханская область,3.694697487,2490.3
Волгоградская область,2.722653485,5253.3
Ростовская область,3.640726092,10424.4
Севастополь,6.005514016,2496.3
Республика Дагестан,1.943876049,2727.4
Республика Ингушетия,1.102075486,307.5
Кабардино-Балкарская Республика,1.975205294,891.9
Карачаево-Черкесская Республика,2.701605629,539.1
Республика Северная Осетия - Алания,3.060654172,1374.5
Чеченская Республика,0.8405150469,454
Ставропольский край,3.274877371,5395.2
Республика Башкортостан,1.91151414,4819.6
Республика Марий Эл,2.573338497,1169.5
Республика Мордовия,2.969678706,1497.9
Республика Татарстан,3.796487448,11390.7
Удмуртская Республика,2.154504122,2140
Чувашская Республика,1.124475394,867.3
Пермский край,2.85013329,5634.4
Кировская область,2.238555306,2199.3
Нижегородская область,3.640867227,9302.9
Оренбургская область,1.635122261,1937.7
Пензенская область,3.576584032,3228.4
Самарская область,2.592460745,6583.3
Саратовская область,2.892856328,5328.3
Ульяновская область,3.679758599,3438.9
Курганская область,2.105579058,1087.5
Свердловская область,2.552675446,9356.5
Ханты-Мансийский АО,2.122530894,3276.5
Ямало-Ненецкий АО,3.276303257,1492.9
Тюменская область,3.142934696,3230.5
Челябинская область,2.292970421,6582.1
Республика Алтай,1.67407061,107.4
Республика Тыва,1.74561473,308.3
Республика Хакасия,2.470098177,922.1
Алтайский край,2.414068999,3189.2
Красноярский край,2.386768889,5312
Иркутская область,3.955893413,7427
Кемеровская область,3.209399522,7362.6
Новосибирская область,3.725948397,8246.5
Омская область,2.558740775,3608.5
Томская область,2.169338985,1695
Республика Бурятия,3.639317126,2119.4
Забайкальский край,1.706307386,1238.6
Республика Саха (Якутия),2.783402075,1781.6
Камчатский край,3.314593962,816
Приморский край,1.818301825,2672.2
Хабаровский край,1.989267235,2152.6
Амурская область,3.427020545,1834.7
Магаданская область,3.946258675,533.4
Сахалинская область,3.974983283,1599.1
Еврейская АО,1.640288559,179.4
Чукотский АО,2.473091083,88
